"id","label","altlabels","lon","lat","earliest_year","latest_year","q_start","q_end","q_interval","unc_start_years","unc_end_years","unc_interval_years"
1,"Aalen",,"10.085005","48.835827",143,192,"0.899","0.803","0.397",15,42,45
2,"Abergavenny",,"-3.016666","51.833332",65,90,"0.897","1.000","0.754",7,0,7
3,"Aislingen",,"10.45778","48.50648",45,70,"0.763","0.852","0.526",12,11,16
4,"Albertfalva",,"19.046778","47.439217",133,166,"0.824","0.837","0.307",26,30,39
5,"Alcester",,"-1.866667","52.21667",139,176,"0.972","0.975","0.853",4,5,6
6,"Ardoch",,"-3.876161","56.267341",138,165,"0.975","0.958","0.750",4,7,8
7,"Arnsburg",,"8.784294","50.487393",72,100,"0.900","0.914","0.662",8,9,12
8,"Arras","Nemetacum","2.783333","50.283332",150,185,"0.500","0.500","0.500",0,0,0
9,"Aulnay-de-Saintonge",,"-0.349999","46.016666",21,50,"0.743","0.874","0.724",6,7,9
10,"Bad Cannstatt",,"9.2145","48.8048",73,102,"0.721","0.765","0.287",24,27,36
11,"Bad Nauheim",,"8.73859","50.36463",72,97,"0.851","0.887","0.520",12,12,16
12,"Bad Wimpfen","Vicus Alisinensium","9.159722","49.227218",143,177,"0.856","0.862","0.371",22,26,34
13,"Baden-Baden","Aquae","8.239792","48.7598",68,94,"0.874","0.869","0.545",9,13,16
14,"Bagendon",,"-1.976233","51.753227",15,35,"0.500","0.500","0.500",0,0,0
15,"Baginton",,"-1.483333","52.366664",45,74,"0.806","0.882","0.625",10,9,13
16,"Bainbridge",,"-2.099999","54.299999",148,185,"0.829","0.843","0.320",28,32,42
17,"Balmuildy",,"-4.270652","55.917377",140,173,"0.953","0.958","0.738",7,7,10
18,"Bar Hill",,"-4.07087","55.958923",136,168,"0.958","0.960","0.758",6,7,9
19,"Barburgh Mill",,"-3.724208","55.178001",140,160,"0.500","0.500","0.500",0,0,0
20,"Barochan Hill",,"-4.507793","55.910342",40,80,"0.500","0.500","0.500",0,0,0
21,"Bearsden",,"-4.349999","55.916667",138,168,"0.975","0.979","0.846",4,4,5
22,"Bendorf",,"7.566667","50.433333",90,125,"0.500","0.500","0.500",0,0,0
23,"Benwell",,"-1.660947","54.975463",153,185,"0.893","0.903","0.452",17,19,26
24,"Berlingen",,"5.3","50.816665",55,75,"0.500","0.500","0.500",0,0,0
25,"Bewcastle",,"-2.683333","55.066665",152,192,"0.951","0.947","0.724",8,10,13
26,"Binchester","Vinovia","-1.676772","54.676732",69,95,"0.911","0.939","0.716",6,6,9
27,"Birdoswald"," Banna","-2.60325","54.991588",129,159,"0.835","0.852","0.324",23,26,34
28,"Birrens","Blatobulgium","-3.2228","55.063598",134,166,"0.874","0.883","0.413",18,21,27
29,"Bishopton",,"-1.43333","54.58333",138,170,"0.975","0.920","0.639",4,14,15
30,"Böbingen",,"9.916666","48.816669",153,180,"0.977","1.000","0.879",4,0,4
31,"Bothwellhaugh",,"-4.024915","55.796554",140,171,"0.935","0.907","0.539",9,17,19
32,"Bowes",,"-2.010818","54.515506",96,124,"0.616","0.659","0.080",47,52,69
33,"Bowness-on-Solway",,"-3.21187","54.95389",145,185,"0.860","0.889","0.463",22,22,31
34,"Brecon","Cicutio","-3.383332","51.95",66,93,"0.824","0.865","0.502",13,14,19
35,"Bregenz","Brigantium","9.7471","47.50311",91,116,"0.498","0.555","0.027",63,69,93
36,"Broomholm",,"-2.987909","55.119319",60,80,"0.500","0.500","0.500",0,0,0
37,"Brough-on-Humber","Petuaria","-0.590419","53.721889",63,91,"0.893","0.908","0.676",7,9,11
38,"Brough-under-Stainmore",,"-2.717554","54.653861",65,95,"0.500","0.500","0.500",0,0,0
39,"Brougham",,"-2.7191","54.654",168,200,"0.979","1.000","0.897",4,0,4
40,"Buch",,"10.149999","48.93333",163,198,"0.937","0.914","0.555",11,18,21
41,"Budapest",,"19.04045","47.49835",152,186,"0.844","0.851","0.315",26,30,40
42,"Burghöfe","Summuntorium","10.84333","48.659999",56,82,"0.847","0.892","0.605",9,9,13
43,"Burladingen",,"9.116666","48.283332",62,94,"0.708","0.745","0.335",21,28,35
44,"Butzbach",,"8.665183","50.439681",78,110,"0.727","0.746","0.276",25,32,41
45,"Cadder",,"-4.224601","55.921009",143,177,"0.930","0.934","0.620",10,12,16
46,"Caerhûn","Kanovium/Conovium","-3.833333","53.216667",52,82,"0.784","0.911","0.612",13,8,15
47,"Caerleon",,"-2.95378","51.60952",68,96,"0.773","0.813","0.388",18,20,27
48,"Caernarfon",,"-4.265485","53.137619",61,88,"0.867","0.916","0.645",9,8,12
49,"Caersws",,"-3.444389","52.5167",63,87,"0.798","0.873","0.463",14,12,18
50,"Caerwent",,"-2.766666","51.616661",118,149,"0.701","0.729","0.133",42,47,63
